Date,RANK,Provider Quotes,Premium,Occ Class,Deferred Period,PaymentTerm,ProviderApplications,womApplications
2023-01-02 00:00:00,1,12,Level,52+,3,Full,0,0
2023-01-02 00:00:00,1,13,Age-Costed,13,2,Full,0,0
2023-01-02 00:00:00,1,14,Age-Costed,4,3,Full,0,2
2023-01-02 00:00:00,1,14,Level,26,3,Full,0,0
2023-01-02 00:00:00,1,16,Age-Costed,0-1,3,2-Year,0,0
2023-01-02 00:00:00,1,16,Age-Costed,4,2,Full,2,2
2023-01-02 00:00:00,1,18,Age-Costed,0-1,3,Full,0,2
2023-01-02 00:00:00,1,19,Age-Costed,0-1,4,2-Year,0,0
2023-01-02 00:00:00,1,19,Age-Costed,0-1,4,Full,0,0
2023-01-02 00:00:00,1,23,Age-Costed,4,4,Full,0,2
2023-01-02 00:00:00,1,24,Level,13,3,Full,0,0
2023-01-02 00:00:00,1,24,Level,4,1,Full,0,4
2023-01-02 00:00:00,1,26,Age-Costed,26,2,Full,0,0
2023-01-02 00:00:00,1,32,Level,4,4,2-Year,2,2
2023-01-02 00:00:00,1,35,Age-Costed,4,4,2-Year,0,4
2023-01-02 00:00:00,1,36,Level,26,1,Full,0,4
2023-01-02 00:00:00,1,37,Level,4,3,Full,0,0
2023-01-02 00:00:00,1,54,Age-Costed,52+,1,2-Year,0,0
2023-01-02 00:00:00,1,56,Level,13,1,Full,0,2
2023-01-02 00:00:00,1,60,Level,4,4,Full,0,0
2023-01-02 00:00:00,1,62,Age-Costed,8,1,2-Year,0,0
2023-01-02 00:00:00,1,76,Age-Costed,0-1,1,Full,2,2
2023-01-02 00:00:00,1,84,Age-Costed,8,1,Full,0,0
2023-01-02 00:00:00,1,93,Age-Costed,26,1,2-Year,0,0
2023-01-02 00:00:00,1,95,Age-Costed,0-1,1,2-Year,2,2
2023-01-02 00:00:00,1,135,Age-Costed,52+,1,Full,0,0
2023-01-02 00:00:00,1,164,Age-Costed,4,1,2-Year,2,2
2023-01-02 00:00:00,1,210,Age-Costed,13,1,2-Year,0,0
2023-01-02 00:00:00,1,226,Age-Costed,4,1,Full,0,0
2023-01-02 00:00:00,1,301,Age-Costed,26,1,Full,0,0
2023-01-02 00:00:00,1,545,Age-Costed,13,1,Full,6,6
2023-01-02 00:00:00,2,0,Age-Costed,0-1,1,Full,0,0
2023-01-02 00:00:00,2,0,Age-Costed,52+,4,2-Year,0,0
2023-01-02 00:00:00,2,0,Age-Costed,52+,4,Full,0,0
2023-01-02 00:00:00,2,0,Level,26,2,2-Year,0,0
2023-01-02 00:00:00,2,0,Level,52+,1,2-Year,0,0
2023-01-02 00:00:00,2,0,Level,52+,2,2-Year,0,0
2023-01-02 00:00:00,2,0,Level,52+,3,2-Year,0,0
2023-01-02 00:00:00,2,0,Level,52+,4,2-Year,0,0
2023-01-02 00:00:00,2,0,Level,8,2,2-Year,0,0
2023-01-02 00:00:00,2,1,Level,13,2,2-Year,0,0
2023-01-02 00:00:00,2,1,Level,26,4,Full,0,0
2023-01-02 00:00:00,2,1,Level,4,2,2-Year,0,0
2023-01-02 00:00:00,2,1,Level,52+,4,Full,0,0
2023-01-02 00:00:00,2,1,Level,8,1,2-Year,0,2
2023-01-02 00:00:00,2,1,Level,8,2,Full,0,0
2023-01-02 00:00:00,2,1,Level,8,3,2-Year,0,0
2023-01-02 00:00:00,2,2,Age-Costed,0-1,2,Full,0,0
2023-01-02 00:00:00,2,2,Age-Costed,26,4,2-Year,0,0
2023-01-02 00:00:00,2,2,Age-Costed,8,3,Full,0,0
2023-01-02 00:00:00,2,2,Age-Costed,8,4,2-Year,0,0
2023-01-02 00:00:00,2,2,Level,13,3,2-Year,0,0
2023-01-02 00:00:00,2,2,Level,8,3,Full,0,0
2023-01-02 00:00:00,2,3,Level,26,3,2-Year,0,2
2023-01-02 00:00:00,2,4,Age-Costed,0-1,3,Full,0,0
2023-01-02 00:00:00,2,4,Age-Costed,8,3,2-Year,0,2
2023-01-02 00:00:00,2,4,Level,13,1,2-Year,0,0
2023-01-02 00:00:00,2,4,Level,13,2,Full,0,0
2023-01-02 00:00:00,2,4,Level,26,4,2-Year,0,0
2023-01-02 00:00:00,2,4,Level,52+,2,Full,0,0
2023-01-02 00:00:00,2,4,Level,8,4,2-Year,0,0
2023-01-02 00:00:00,2,5,Age-Costed,26,4,Full,0,0
2023-01-02 00:00:00,2,5,Level,26,1,2-Year,0,0
2023-01-02 00:00:00,2,6,Age-Costed,13,2,Full,0,0
2023-01-02 00:00:00,2,6,Age-Costed,8,2,Full,0,0
2023-01-02 00:00:00,2,7,Age-Costed,8,2,2-Year,0,0
2023-01-02 00:00:00,2,8,Age-Costed,13,4,Full,0,0
2023-01-02 00:00:00,2,8,Age-Costed,52+,1,Full,0,0
2023-01-02 00:00:00,2,8,Age-Costed,52+,3,2-Year,0,0
2023-01-02 00:00:00,2,8,Level,8,4,Full,0,0
2023-01-02 00:00:00,2,9,Age-Costed,13,2,2-Year,0,0
2023-01-02 00:00:00,2,9,Age-Costed,13,4,2-Year,0,0
2023-01-02 00:00:00,2,9,Age-Costed,26,3,2-Year,0,0
2023-01-02 00:00:00,2,9,Level,13,4,Full,0,0
2023-01-02 00:00:00,2,10,Age-Costed,4,2,2-Year,0,0
2023-01-02 00:00:00,2,10,Age-Costed,8,4,Full,0,0
2023-01-02 00:00:00,2,10,Level,52+,3,Full,0,0
2023-01-02 00:00:00,2,11,Age-Costed,52+,1,2-Year,0,0
2023-01-02 00:00:00,2,11,Level,4,3,2-Year,0,2
2023-01-02 00:00:00,2,12,Level,26,2,Full,0,0
2023-01-02 00:00:00,2,13,Age-Costed,0-1,4,Full,0,0
2023-01-02 00:00:00,2,13,Age-Costed,52+,3,Full,0,0
2023-01-02 00:00:00,2,13,Level,26,3,Full,0,0
2023-01-02 00:00:00,2,14,Age-Costed,13,3,2-Year,0,0
2023-01-02 00:00:00,2,15,Age-Costed,0-1,2,2-Year,0,0
2023-01-02 00:00:00,2,15,Age-Costed,0-1,3,2-Year,0,0
2023-01-02 00:00:00,2,15,Level,13,4,2-Year,0,0
2023-01-02 00:00:00,2,16,Level,4,2,Full,0,0
2023-01-02 00:00:00,2,16,Level,8,1,Full,0,0
2023-01-02 00:00:00,2,17,Age-Costed,26,2,2-Year,0,0
2023-01-02 00:00:00,2,17,Level,4,1,2-Year,0,4
2023-01-02 00:00:00,2,18,Age-Costed,0-1,4,2-Year,0,0
2023-01-02 00:00:00,2,18,Level,13,3,Full,2,2
2023-01-02 00:00:00,2,19,Age-Costed,26,1,Full,0,0
2023-01-02 00:00:00,2,19,Age-Costed,4,2,Full,0,0
2023-01-02 00:00:00,2,19,Age-Costed,8,1,2-Year,0,0
2023-01-02 00:00:00,2,20,Age-Costed,13,3,Full,0,0
2023-01-02 00:00:00,2,25,Age-Costed,26,3,Full,0,0
2023-01-02 00:00:00,2,25,Age-Costed,4,3,2-Year,0,2
2023-01-02 00:00:00,2,26,Age-Costed,52+,2,2-Year,0,0
2023-01-02 00:00:00,2,28,Age-Costed,4,4,2-Year,0,4
2023-01-02 00:00:00,2,30,Level,52+,1,Full,0,0
2023-01-02 00:00:00,2,33,Age-Costed,13,1,Full,0,0
2023-01-02 00:00:00,2,33,Age-Costed,4,1,Full,0,0
2023-01-02 00:00:00,2,36,Level,26,1,Full,0,0
2023-01-02 00:00:00,2,37,Age-Costed,26,2,Full,0,0
2023-01-02 00:00:00,2,38,Age-Costed,52+,2,Full,0,0
2023-01-02 00:00:00,2,39,Age-Costed,0-1,1,2-Year,4,4
2023-01-02 00:00:00,2,40,Age-Costed,8,1,Full,0,0
2023-01-02 00:00:00,2,45,Age-Costed,4,3,Full,0,0
2023-01-02 00:00:00,2,46,Level,4,3,Full,0,0
2023-01-02 00:00:00,2,49,Age-Costed,26,1,2-Year,0,0
2023-01-02 00:00:00,2,51,Level,4,4,2-Year,0,0
2023-01-02 00:00:00,2,63,Level,4,4,Full,0,0
2023-01-02 00:00:00,2,69,Age-Costed,4,4,Full,2,2
2023-01-02 00:00:00,2,69,Level,4,1,Full,0,0
2023-01-02 00:00:00,2,74,Age-Costed,4,1,2-Year,0,0
2023-01-02 00:00:00,2,112,Level,13,1,Full,0,0
2023-01-02 00:00:00,2,170,Age-Costed,13,1,2-Year,0,0
2023-01-02 00:00:00,3,0,Age-Costed,8,1,2-Year,0,0
2023-01-02 00:00:00,3,0,Level,13,2,2-Year,0,0
2023-01-02 00:00:00,3,0,Level,26,2,2-Year,0,0
2023-01-02 00:00:00,3,0,Level,26,3,2-Year,0,0
2023-01-02 00:00:00,3,0,Level,26,4,2-Year,0,0
2023-01-02 00:00:00,3,0,Level,52+,2,2-Year,0,0
2023-01-02 00:00:00,3,0,Level,52+,3,2-Year,0,0
2023-01-02 00:00:00,3,0,Level,52+,4,Full,0,0
2023-01-02 00:00:00,3,0,Level,8,2,2-Year,0,0
2023-01-02 00:00:00,3,1,Age-Costed,0-1,1,Full,0,0
2023-01-02 00:00:00,3,1,Age-Costed,0-1,2,2-Year,0,0
2023-01-02 00:00:00,3,1,Age-Costed,26,2,2-Year,0,0
2023-01-02 00:00:00,3,1,Age-Costed,52+,4,2-Year,0,0
2023-01-02 00:00:00,3,1,Age-Costed,52+,4,Full,0,0
2023-01-02 00:00:00,3,1,Age-Costed,8,4,2-Year,0,0
2023-01-02 00:00:00,3,1,Level,52+,1,2-Year,0,0
2023-01-02 00:00:00,3,1,Level,52+,4,2-Year,0,0
2023-01-02 00:00:00,3,1,Level,8,2,Full,0,0
2023-01-02 00:00:00,3,2,Age-Costed,0-1,2,Full,0,0
2023-01-02 00:00:00,3,2,Level,52+,3,Full,0,0
2023-01-02 00:00:00,3,2,Level,8,3,2-Year,0,0
2023-01-02 00:00:00,3,3,Age-Costed,26,1,Full,0,0
2023-01-02 00:00:00,3,3,Age-Costed,26,4,2-Year,0,0
2023-01-02 00:00:00,3,3,Age-Costed,8,1,Full,0,0
2023-01-02 00:00:00,3,3,Age-Costed,8,2,Full,0,0
2023-01-02 00:00:00,3,3,Level,26,4,Full,0,0
2023-01-02 00:00:00,3,3,Level,8,1,2-Year,0,0
2023-01-02 00:00:00,3,3,Level,8,4,2-Year,0,0
2023-01-02 00:00:00,3,4,Age-Costed,8,4,Full,0,0
2023-01-02 00:00:00,3,4,Level,13,2,Full,0,0
2023-01-02 00:00:00,3,4,Level,8,3,Full,0,0
2023-01-02 00:00:00,3,4,Level,8,4,Full,0,0
2023-01-02 00:00:00,3,5,Age-Costed,0-1,3,2-Year,0,0
2023-01-02 00:00:00,3,5,Level,13,3,2-Year,0,0
2023-01-02 00:00:00,3,5,Level,26,3,Full,0,0
2023-01-02 00:00:00,3,6,Age-Costed,0-1,4,Full,0,0
2023-01-02 00:00:00,3,6,Age-Costed,13,1,Full,0,0
2023-01-02 00:00:00,3,6,Age-Costed,26,4,Full,0,0
2023-01-02 00:00:00,3,6,Age-Costed,52+,1,2-Year,0,0
2023-01-02 00:00:00,3,7,Age-Costed,26,1,2-Year,0,0
2023-01-02 00:00:00,3,7,Age-Costed,26,3,2-Year,0,0
2023-01-02 00:00:00,3,7,Age-Costed,8,3,2-Year,0,0
2023-01-02 00:00:00,3,7,Age-Costed,8,3,Full,0,0
2023-01-02 00:00:00,3,7,Level,26,1,2-Year,0,0
2023-01-02 00:00:00,3,8,Age-Costed,0-1,1,2-Year,0,0
2023-01-02 00:00:00,3,8,Age-Costed,13,3,2-Year,0,0
2023-01-02 00:00:00,3,8,Age-Costed,52+,1,Full,0,0
2023-01-02 00:00:00,3,8,Age-Costed,8,2,2-Year,0,0
2023-01-02 00:00:00,3,8,Level,26,2,Full,0,0
2023-01-02 00:00:00,3,9,Age-Costed,0-1,3,Full,0,0
2023-01-02 00:00:00,3,9,Age-Costed,4,1,2-Year,0,0
2023-01-02 00:00:00,3,9,Level,13,3,Full,0,0
2023-01-02 00:00:00,3,9,Level,13,4,2-Year,0,0
2023-01-02 00:00:00,3,9,Level,4,2,2-Year,0,0
2023-01-02 00:00:00,3,9,Level,52+,2,Full,0,0
2023-01-02 00:00:00,3,10,Age-Costed,13,2,Full,0,0
2023-01-02 00:00:00,3,10,Level,13,4,Full,0,0
2023-01-02 00:00:00,3,11,Age-Costed,4,1,Full,0,0
2023-01-02 00:00:00,3,12,Age-Costed,26,3,Full,0,0
2023-01-02 00:00:00,3,13,Age-Costed,13,4,Full,0,0
2023-01-02 00:00:00,3,15,Level,52+,1,Full,0,0
2023-01-02 00:00:00,3,16,Age-Costed,26,2,Full,0,0
2023-01-02 00:00:00,3,16,Age-Costed,4,2,Full,0,0
2023-01-02 00:00:00,3,17,Age-Costed,0-1,4,2-Year,0,0
2023-01-02 00:00:00,3,17,Level,4,4,Full,0,0
2023-01-02 00:00:00,3,18,Age-Costed,13,4,2-Year,0,0
2023-01-02 00:00:00,3,18,Age-Costed,52+,3,2-Year,0,0
2023-01-02 00:00:00,3,18,Level,4,3,2-Year,0,0
2023-01-02 00:00:00,3,18,Level,4,3,Full,0,0
2023-01-02 00:00:00,3,21,Age-Costed,13,2,2-Year,0,0
2023-01-02 00:00:00,3,22,Level,4,1,2-Year,2,4
2023-01-02 00:00:00,3,24,Age-Costed,4,2,2-Year,0,0
2023-01-02 00:00:00,3,24,Level,26,1,Full,0,4
2023-01-02 00:00:00,3,25,Level,4,2,Full,0,0
2023-01-02 00:00:00,3,25,Level,8,1,Full,0,0
2023-01-02 00:00:00,3,26,Age-Costed,4,4,Full,0,0
2023-01-02 00:00:00,3,26,Level,13,1,2-Year,0,0
2023-01-02 00:00:00,3,27,Age-Costed,52+,2,2-Year,0,0
2023-01-02 00:00:00,3,29,Age-Costed,52+,2,Full,0,0
2023-01-02 00:00:00,3,29,Level,4,4,2-Year,0,0
2023-01-02 00:00:00,3,30,Age-Costed,52+,3,Full,0,0
2023-01-02 00:00:00,3,32,Age-Costed,4,4,2-Year,0,2
2023-01-02 00:00:00,3,35,Age-Costed,13,3,Full,0,0
2023-01-02 00:00:00,3,35,Age-Costed,4,3,Full,0,0
2023-01-02 00:00:00,3,48,Age-Costed,4,3,2-Year,0,2
2023-01-02 00:00:00,3,50,Age-Costed,13,1,2-Year,0,0
2023-01-02 00:00:00,3,98,Level,4,1,Full,0,0
2023-01-02 00:00:00,3,190,Level,13,1,Full,0,0
2023-01-02 00:00:00,4,0,Age-Costed,0-1,1,Full,0,0
2023-01-02 00:00:00,4,0,Age-Costed,0-1,2,Full,0,0
2023-01-02 00:00:00,4,0,Age-Costed,26,4,2-Year,0,0
2023-01-02 00:00:00,4,0,Age-Costed,26,4,Full,0,0
2023-01-02 00:00:00,4,0,Age-Costed,4,1,Full,0,0
2023-01-02 00:00:00,4,0,Age-Costed,52+,1,2-Year,0,0
2023-01-02 00:00:00,4,0,Age-Costed,8,1,2-Year,0,0
2023-01-02 00:00:00,4,0,Age-Costed,8,1,Full,0,0
2023-01-02 00:00:00,4,1,Age-Costed,26,1,Full,0,0
2023-01-02 00:00:00,4,1,Age-Costed,26,3,2-Year,0,0
2023-01-02 00:00:00,4,1,Age-Costed,52+,2,2-Year,0,0
2023-01-02 00:00:00,4,1,Age-Costed,52+,4,Full,0,0
2023-01-02 00:00:00,4,1,Level,52+,4,2-Year,0,0
2023-01-02 00:00:00,4,1,Level,52+,4,Full,0,0
2023-01-02 00:00:00,4,2,Age-Costed,0-1,3,Full,0,0
2023-01-02 00:00:00,4,2,Age-Costed,13,1,Full,0,0
2023-01-02 00:00:00,4,2,Age-Costed,26,1,2-Year,0,0
2023-01-02 00:00:00,4,2,Age-Costed,52+,1,Full,0,0
2023-01-02 00:00:00,4,2,Age-Costed,8,4,2-Year,0,0
2023-01-02 00:00:00,4,2,Level,26,4,2-Year,0,0
2023-01-02 00:00:00,4,4,Age-Costed,8,3,Full,0,0
2023-01-02 00:00:00,4,4,Level,4,4,Full,0,0
2023-01-02 00:00:00,4,4,Level,8,4,2-Year,0,0
2023-01-02 00:00:00,4,4,Level,8,4,Full,0,0
2023-01-02 00:00:00,4,5,Age-Costed,0-1,4,Full,0,0
2023-01-02 00:00:00,4,5,Age-Costed,8,4,Full,0,0
2023-01-02 00:00:00,4,5,Level,26,4,Full,0,0
2023-01-02 00:00:00,4,5,Level,8,3,Full,0,0
2023-01-02 00:00:00,4,6,Age-Costed,8,2,2-Year,0,0
2023-01-02 00:00:00,4,6,Age-Costed,8,3,2-Year,0,0
2023-01-02 00:00:00,4,10,Age-Costed,26,2,Full,0,0
2023-01-02 00:00:00,4,10,Age-Costed,52+,3,2-Year,0,0
2023-01-02 00:00:00,4,11,Age-Costed,13,3,Full,0,0
2023-01-02 00:00:00,4,11,Age-Costed,13,4,Full,0,0
2023-01-02 00:00:00,4,11,Age-Costed,26,3,Full,0,0
2023-01-02 00:00:00,4,11,Level,13,4,Full,0,0
2023-01-02 00:00:00,4,12,Age-Costed,8,2,Full,0,0
2023-01-02 00:00:00,4,14,Age-Costed,13,1,2-Year,0,0
2023-01-02 00:00:00,4,18,Age-Costed,4,1,2-Year,0,0
2023-01-02 00:00:00,4,19,Level,26,3,2-Year,0,0
2023-01-02 00:00:00,4,20,Age-Costed,26,2,2-Year,0,0
2023-01-02 00:00:00,4,20,Level,8,2,Full,0,0
2023-01-02 00:00:00,4,21,Level,8,2,2-Year,0,0
2023-01-02 00:00:00,4,22,Age-Costed,13,2,Full,0,0
2023-01-02 00:00:00,4,23,Level,4,3,Full,0,0
2023-01-02 00:00:00,4,23,Level,4,4,2-Year,0,0
2023-01-02 00:00:00,4,24,Age-Costed,4,4,Full,0,0
2023-01-02 00:00:00,4,24,Level,26,3,Full,0,0
2023-01-02 00:00:00,4,24,Level,8,3,2-Year,0,0
2023-01-02 00:00:00,4,25,Level,13,3,Full,0,0
2023-01-02 00:00:00,4,27,Age-Costed,52+,2,Full,0,0
2023-01-02 00:00:00,4,30,Age-Costed,4,3,Full,0,0
2023-01-02 00:00:00,4,30,Age-Costed,52+,3,Full,0,0
2023-01-02 00:00:00,4,33,Age-Costed,13,4,2-Year,0,0
2023-01-02 00:00:00,4,36,Level,13,4,2-Year,0,0
2023-01-02 00:00:00,4,36,Level,52+,3,2-Year,0,0
2023-01-02 00:00:00,4,37,Level,13,2,Full,0,0
2023-01-02 00:00:00,4,38,Age-Costed,4,4,2-Year,0,0
2023-01-02 00:00:00,4,39,Age-Costed,4,2,Full,0,0
2023-01-02 00:00:00,4,44,Age-Costed,13,2,2-Year,0,0
2023-01-02 00:00:00,4,44,Level,4,2,Full,0,0
2023-01-02 00:00:00,4,45,Level,26,2,2-Year,0,2
2023-01-02 00:00:00,4,48,Age-Costed,13,3,2-Year,0,0
2023-01-02 00:00:00,4,49,Level,52+,3,Full,0,0
2023-01-02 00:00:00,4,53,Age-Costed,4,2,2-Year,0,0
2023-01-02 00:00:00,4,54,Level,52+,2,2-Year,0,0
2023-01-02 00:00:00,4,63,Level,13,3,2-Year,0,0
2023-01-02 00:00:00,4,65,Level,26,2,Full,0,0
2023-01-02 00:00:00,4,68,Age-Costed,4,3,2-Year,0,0
2023-01-02 00:00:00,4,71,Level,52+,1,2-Year,0,0
2023-01-02 00:00:00,4,74,Level,8,1,2-Year,0,0
2023-01-02 00:00:00,4,76,Level,13,2,2-Year,0,0
2023-01-02 00:00:00,4,77,Level,4,1,Full,0,0
2023-01-02 00:00:00,4,77,Level,8,1,Full,0,0
2023-01-02 00:00:00,4,80,Level,4,2,2-Year,0,0
2023-01-02 00:00:00,4,85,Level,52+,2,Full,0,0
2023-01-02 00:00:00,4,97,Level,52+,1,Full,0,0
2023-01-02 00:00:00,4,110,Level,4,3,2-Year,0,0
2023-01-02 00:00:00,4,136,Level,26,1,2-Year,0,0
2023-01-02 00:00:00,4,225,Level,4,1,2-Year,0,4
2023-01-02 00:00:00,4,227,Level,13,1,Full,0,0
2023-01-02 00:00:00,4,228,Level,26,1,Full,0,0
2023-01-02 00:00:00,4,404,Level,13,1,2-Year,0,0
2023-01-09 00:00:00,1,0,Age-Costed,52+,2,2-Year,0,0
2023-01-09 00:00:00,1,0,Age-Costed,52+,4,2-Year,0,0
2023-01-09 00:00:00,1,0,Age-Costed,8,2,Full,0,0
2023-01-09 00:00:00,1,0,Level,0-1,3,2-Year,0,0
2023-01-09 00:00:00,1,0,Level,0-1,3,Full,0,0
2023-01-09 00:00:00,1,0,Level,13,2,2-Year,0,0
2023-01-09 00:00:00,1,0,Level,26,1,2-Year,0,2
2023-01-09 00:00:00,1,0,Level,26,2,2-Year,0,2
2023-01-09 00:00:00,1,0,Level,26,4,2-Year,0,0
2023-01-09 00:00:00,1,0,Level,52+,1,2-Year,0,0
2023-01-09 00:00:00,1,0,Level,52+,2,2-Year,0,0
2023-01-09 00:00:00,1,0,Level,52+,2,Full,0,0
2023-01-09 00:00:00,1,0,Level,52+,3,2-Year,0,0
2023-01-09 00:00:00,1,0,Level,52+,4,2-Year,0,0
2023-01-09 00:00:00,1,0,Level,8,1,2-Year,0,0
2023-01-09 00:00:00,1,0,Level,8,2,2-Year,0,2
2023-01-09 00:00:00,1,0,Level,8,3,2-Year,0,2
2023-01-09 00:00:00,1,1,Level,8,4,2-Year,0,0
2023-01-09 00:00:00,1,2,Age-Costed,13,4,2-Year,0,0
2023-01-09 00:00:00,1,2,Age-Costed,26,4,2-Year,0,0
2023-01-09 00:00:00,1,2,Age-Costed,52+,4,Full,0,0
2023-01-09 00:00:00,1,2,Age-Costed,8,3,2-Year,0,0
2023-01-09 00:00:00,1,2,Level,13,3,2-Year,0,4
2023-01-09 00:00:00,1,2,Level,26,3,2-Year,0,0
2023-01-09 00:00:00,1,2,Level,4,2,2-Year,0,2
2023-01-09 00:00:00,1,2,Level,52+,4,Full,0,0
2023-01-09 00:00:00,1,2,Level,8,2,Full,0,2
2023-01-09 00:00:00,1,2,Level,8,4,Full,0,0
2023-01-09 00:00:00,1,3,Age-Costed,52+,3,Full,0,0
2023-01-09 00:00:00,1,3,Age-Costed,8,3,Full,0,0
2023-01-09 00:00:00,1,3,Age-Costed,8,4,Full,0,0
2023-01-09 00:00:00,1,3,Level,13,1,2-Year,0,0
2023-01-09 00:00:00,1,4,Level,26,2,Full,0,4
2023-01-09 00:00:00,1,5,Age-Costed,13,3,2-Year,0,0
2023-01-09 00:00:00,1,5,Age-Costed,26,2,2-Year,0,0
2023-01-09 00:00:00,1,5,Age-Costed,8,2,2-Year,0,0
2023-01-09 00:00:00,1,5,Level,13,4,2-Year,0,0
2023-01-09 00:00:00,1,5,Level,52+,3,Full,0,2
2023-01-09 00:00:00,1,6,Age-Costed,13,2,2-Year,0,0
2023-01-09 00:00:00,1,6,Age-Costed,52+,3,2-Year,0,0
2023-01-09 00:00:00,1,6,Level,26,4,Full,0,0
2023-01-09 00:00:00,1,7,Level,4,1,2-Year,0,2
2023-01-09 00:00:00,1,8,Age-Costed,13,4,Full,0,0
2023-01-09 00:00:00,1,8,Age-Costed,26,4,Full,0,0
2023-01-09 00:00:00,1,8,Age-Costed,4,2,2-Year,0,2
2023-01-09 00:00:00,1,9,Age-Costed,52+,2,Full,0,0
2023-01-09 00:00:00,1,9,Level,13,2,Full,0,2
2023-01-09 00:00:00,1,10,Age-Costed,13,2,Full,0,0
2023-01-09 00:00:00,1,10,Age-Costed,26,3,2-Year,0,0
2023-01-09 00:00:00,1,10,Level,8,3,Full,0,0
2023-01-09 00:00:00,1,11,Age-Costed,13,3,Full,0,0
2023-01-09 00:00:00,1,11,Age-Costed,8,4,2-Year,0,0
2023-01-09 00:00:00,1,11,Level,4,3,2-Year,0,8
2023-01-09 00:00:00,1,11,Level,52+,1,Full,0,6
2023-01-09 00:00:00,1,12,Age-Costed,0-1,2,Full,2,2
2023-01-09 00:00:00,1,14,Level,8,1,Full,0,2
